title,severity,message
Green Corridor Routing,success,✅ AQI expected around 12 at 04:00 PM. Outdoor activities safe along green corridors.
HVAC Automation,success,PM2.5 holding near 23 µg/m³. HVAC Mode: Fresh Air Intake Open.
